"id","match_id","quarter","clock","team1_score","team2_score","player_name","action","team1_p1_name","team1_p2_name","team1_p3_name","team1_p4_name","team1_p5_name","team2_p1_name","team2_p2_name","team2_p3_name","team2_p4_name","team2_p5_name"
4667548,128109,1,"09:47",0,0,LeDay Zach,TWO_POINT_MISSED,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667551,128109,1,"09:29",0,0,Nebo Josh,DEFENSIVE_REBOUND,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667553,128109,1,"09:11",0,0,Ellis Quinn,PERSONAL_FOUL_RECEIVED,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667554,128109,1,"09:11",0,1,Ellis Quinn,FREE_THROW_MADE,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667555,128109,1,"09:11",0,2,Ellis Quinn,FREE_THROW_MADE,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667557,128109,1,"08:56",0,2,Ellis Quinn,DEFENSIVE_REBOUND,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667558,128109,1,"08:46",0,4,Shields Shavon,TWO_POINT_MADE,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667560,128109,1,"08:25",0,4,Shields Shavon,DEFENSIVE_REBOUND,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667561,128109,1,"08:15",0,4,Shields Shavon,TURNOVER,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
4667565,128109,1,"07:47",3,4,Brooks Armoni,TWO_POINT_MISSED,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
