Timeline,Start time,Duration,Row,Original Instance,BOB,COMMENTS,CP,D COVERAGES,D KIND OF SCREEN,D POST UP,D ROLL,D SCREEN LOCATION,D SCREENER,D SITUATION,GENERATOR,GRAVITY HANDLER PLAYER,GRAVITY SCREENER,GRAVITY SCREENER PLAYER,HANDLER GRAVITY,MOVES,O COVERAGES,O KIND OF SCREEN,O POST UP,O ROLL,O SCREEN LOCATION,O SCREENER,OPPONENTS PLAY CALLS,PAINT TOUCHES,PLAN/BROKEN PLAY,PLAY CALLS,PLAYER PT,PLAYERS,PLAYERS 2ND,PRESSING,QUALITY,QUARTER,RESULTS,RESULTS 2ND,SITUATION,SOB,SPECIAL,Shot Location,VIDEO,ZONE,Ungrouped,Notes,Flags,ocr_quarter,start_time_game_clock,player_name,action,action_game_clock,shot_clock,team1_score,team2_score,team1_p1_name,team1_p2_name,team1_p3_name,team1_p4_name,team1_p5_name,team2_p1_name,team2_p2_name,team2_p3_name,team2_p4_name,team2_p5_name
Venezia - Olimpia Milano 26-04-26,11.024596448,17.340320661,OFFENSE,OFFENSE: 1,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,L RIP DRIVE,HEDGE,,,,STACK SIDE L,5,,DR P,,25 HEAD,,#16 Le Day Zach,#31 Shields Shavon,,2,1 Q,IN-,,P&R 1on1,,,Paint,Y,,,,,,,,,,,,,,,,,,,,,,
Venezia - Olimpia Milano 26-04-26,47.712769278,22.183086930330056,OFFENSE,OFFENSE: 2,,,,,,,,,,,,#3 Ellis Quinn,SCREENER,#16 Le Day Zach,HANDLER,L DRIVE OP DR.,HEDGE,SLIP,,POP,SLOT R,4,,,,5,,#3 Ellis Quinn,,,5,1 Q,2-2 FT,,P&R Handler,,,Rim,Y,,,,,1,09:27,Ellis Quinn,PERSONAL_FOUL_RECEIVED,09:11,9,0,0,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,118.038560008,11.451011266000009,OFFENSE,OFFENSE: 3,,,,,,,,,,,,,,,,R PU ST,,,,,,,,,,FREE LANCE,,#31 Shields Shavon,,,1,1 Q,2P+,,1on1,,,Right Wing Mid-Range,Y,,,,,1,08:53,Shields Shavon,TWO_POINT_MADE,08:46,18,0,4,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,148.977199196,9.060854109000019,OFFENSE,OFFENSE: 4,,,,,,,,,,,FB,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,,DROP,,,,SLOT L,5,,P&R,,5,#31 Shields Shavon,#31 Shields Shavon,,,1,1 Q,TO,,P&R Handler,,,Paint,Y,,,,,1,08:23,Shields Shavon,TURNOVER,08:15,17,0,4,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,166.897459422,20.167096119000007,OFFENSE,OFFENSE: 5,,,,,,,,,,,"FB, FB",#12 Brooks Armoni,SCREENER,#16 Le Day Zach,HANDLER,R DRIVE OP DR.,SWITCH 1on1,,,POP,TOP R,4,,P&R,,AWAY SHORT 4,#12 Brooks Armoni,#12 Brooks Armoni,,,3,1 Q,IN-,,P&R Handler,,,Rim,Y,,,,,1,08:05,Brooks Armoni,TWO_POINT_MISSED,07:47,10,3,4,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,193.878502445,19.148926568999997,OFFENSE,OFFENSE: 6,,,,,,,,,,,,#3 Ellis Quinn,SCREENER,#32 Nebo Josh,HANDLER,ALLEY OOP,DROP,,,,,5,,ROLL,,5,#32 Nebo Josh,#32 Nebo Josh,#3 Ellis Quinn,,5,1 Q,IN+,PASS,P&R Screener,,,Rim,Y,,,,,1,07:37,Nebo Josh,TWO_POINT_MADE,07:22,10,5,6,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,234.628675539,17.988881711999994,OFFENSE,OFFENSE: 7,,,,,,,,,,,"FB, FB",#31 Shields Shavon,SCREENER,#16 Le Day Zach,HANDLER,,HEDGE,,,,SIDE L,4,,ROLL,,5,#16 Le Day Zach,#16 Le Day Zach,,,1,1 Q,TO,,P&R Screener,,,Left Short Corner,Y,,,,,1,06:56,LeDay Zach,TURNOVER,06:42,11,7,6,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,259.004776202,13.953055831999961,OFFENSE,OFFENSE: 8,,,,,,,,,,,,#12 Brooks Armoni,SCREENER,#16 Le Day Zach,HANDLER,R RIP DRIVE,DROP,,,POP,SLOT L,4,,DR P,,FLASH,#16 Le Day Zach,,,,5,1 Q,,,P&R Screener,,,Rim,Y,,,,,1,06:32,LeDay Zach,TWO_POINT_MADE,06:22,15,9,8,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,326.0466246,24.468311538341993,OFFENSE,OFFENSE: 9,,,,,,,,,,,FB,#31 Shields Shavon,SCREENER,#16 Le Day Zach,HANDLER,C&S,HEDGE,,,POP,TOP R,4,,,BROKEN PLAY,AWAY SHORT 4,,#16 Le Day Zach,,,2,1 Q,3P-,,P&R Screener,,,Top of Key 3,Y,,,,,1,05:56,LeDay Zach,TWO_POINT_MISSED,05:36,5,12,8,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,356.963532352,17.484235189000003,OFFENSE,OFFENSE: 10,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,L DR + FL,REJECT,,,,STACK TOP R,5,,P&R,,HEAD,#31 Shields Shavon,#31 Shields Shavon,,,4,1 Q,IN+,,P&R Handler,,,Paint,Y,,,,,1,05:25,Shields Shavon,TWO_POINT_MADE,05:14,13,12,10,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,390.061426699,10.001214363000031,OFFENSE,OFFENSE: 11,,,,,,,,,,,,#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,R DRIVE OP DR.,DROP,SLIP,,,TOP R,5,,P&R,,FLASH,#31 Shields Shavon,#31 Shields Shavon,,,5,1 Q,IN+,,P&R Handler,,,Rim,Y,,,,,1,04:52,Shields Shavon,TWO_POINT_MADE,04:47,19,12,12,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,411.604602714,12.843532960000005,OFFENSE,OFFENSE: 12,,,,,,,,,,,,,,,,,,,,,,,,DR P,,FB,#12 Brooks Armoni,#12 Brooks Armoni,,,5,1 Q,2-2 FT,,FB,,,Rim,Y,,,,,1,04:30,Brooks Armoni,PERSONAL_FOUL_RECEIVED,04:29,21,12,12,Valentine Denzel,Wiltjer Kyle,Cole R.J.,Tessitori Amedeo,Parks Jordan,LeDay Zach,Ellis Quinn,Shields Shavon,Nebo Josh,Brooks Armoni
Venezia - Olimpia Milano 26-04-26,551.459335775,9.933486285999948,OFFENSE,OFFENSE: 13,,,,,,,,,,,,,,,,,,,,,,,,DR P,,FB,,#31 Shields Shavon,"#3 Ellis Quinn, #31 Shields Shavon, #31 Shields Shavon",,4,1 Q,IN+,PASS,FB,,,Rim,Y,,,,,1,04:06,Shields Shavon,TWO_POINT_MADE,04:05,5,12,15,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Ricci Giampaolo,Ellis Quinn,Shields Shavon,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,595.810924634,16.485189754999965,OFFENSE,OFFENSE: 14,,,,,,,,,,,"FB, FB",#31 Shields Shavon,SCREENER,#32 Nebo Josh,HANDLER,C&S,DROP,,,,STACK TOP R,5,,ROLL,,AWAY HEAD,#32 Nebo Josh,#3 Ellis Quinn,#31 Shields Shavon,,4,1 Q,3P-,PASS,P&R Spot up,,,Left Corner 3,Y,,,,,1,03:37,Ellis Quinn,THREE_POINT_MISSED,03:28,16,12,15,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Ricci Giampaolo,Ellis Quinn,Shields Shavon,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,701.566333334,18.886571495,OFFENSE,OFFENSE: 15,,,,,,,,,,,,#23 Guduric Marko,SCREENER,#32 Nebo Josh,HANDLER,DUNK,DEEP DROP,,,,TOP R,5,,DR P,,FREE LANCE,#3 Ellis Quinn,#32 Nebo Josh,#3 Ellis Quinn,ZONE,5,1 Q,IN+,PASS,P&R Screener,,,Rim,Y,,,,,1,03:14,Nebo Josh,TWO_POINT_MADE,03:10,20,14,17,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,730.998171355,15.98045034800009,OFFENSE,OFFENSE: 16,,,,,,,,,,,,,,,,L DRIVE OP DR.,,,,,,,,DR P,,FB,#3 Ellis Quinn,#3 Ellis Quinn,,,1,1 Q,IN-,,FB,,,Rim,Y,,,,,1,02:45,Ellis Quinn,TWO_POINT_MISSED,02:50,18,14,17,Wiltjer Kyle,Horton Chris,Cole R.J.,Parks Jordan,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Ellis Quinn,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,775.861788873,18.340271747999964,OFFENSE,OFFENSE: 17,BOB 1 BLUE,,,,,,,,,,OR,,,,,C&S EX L-R,CHASE,,,,,,,,,,,#10 Bolmaro Leandro,,,2,1 Q,2P-,,SCREENS G,,,Right Short Corner,Y,,,,,1,02:35,Bolmaro Leandro,TWO_POINT_MADE,01:41,6,14,21,Wiltjer Kyle,Horton Chris,Candi Leonardo,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,794.202060621,16.892018711981336,OFFENSE,OFFENSE: 18,,,,,,,,,,,,,,,,,,,,,,,,,,OR,,#23 Guduric Marko,,,,1 Q,F,,OR,,,Right Corner 3,Y,,,,,1,02:34,Guduric Marko,PERSONAL_FOUL_RECEIVED,02:34,14,14,17,Wiltjer Kyle,Horton Chris,Candi Leonardo,Parks Jordan,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
Venezia - Olimpia Milano 26-04-26,826.141327787,11.476368799999932,OFFENSE,OFFENSE: 19,,,,,,,,,,,,#23 Guduric Marko,SCREENER,#32 Nebo Josh,HANDLER,ALLEY OOP,DROP,,,,STACK TOP L,5,,ROLL,,,#32 Nebo Josh,#32 Nebo Josh,,,5,1 Q,IN+,,P&R Screener,SOB AWAY 1 HEAD,,Rim,Y,,,,,1,02:27,Nebo Josh,TWO_POINT_MADE,02:28,11,14,19,Wiltjer Kyle,Horton Chris,Candi Leonardo,Wheatle Carl,Bowman Ky,Bolmaro Leandro,Ricci Giampaolo,Mannion Nico,Guduric Marko,Nebo Josh
